x1,y1,x2,y2,label
411,190,538,375,0
411,190,538,375,1
411,190,538,375,2
411,190,538,375,3
385,260,526,359,4
369,264,548,422,5
375,273,552,416,6
332,289,507,428,7
345,277,520,418,8
411,190,538,375,9
411,190,538,375,10
351,170,489,284,11
79,310,218,438,12
396,310,536,438,12
79,310,218,438,13
396,310,536,438,13
260,222,333,325,14
252,272,342,380,15
269,264,321,423,16
320,218,406,366,17
270,242,365,393,18
203,389,368,448,19
268,243,348,387,19
273,309,443,394,20
198,378,376,441,20
329,224,421,310,21
311,239,396,321,22
228,236,309,319,22
270,223,343,343,23
262,263,401,349,24
228,110,372,289,25

